编号,所属产品,所属模块,所属计划,需求来源,来源备注,需求名称,需求描述,优先级,当前状态,所处阶段,由谁创建,创建日期,由谁评审,评审时间,最后修改,最后修改日期,需求变更记录,受影响的需求id
1,渔乐生活APP,/地图,游客需求,用户,,首页大地图,客户查看首页大地图,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
2,渔乐生活APP,/地图,游客需求,用户,,图标的显示,大地图上相关图标的显示,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
3,渔乐生活APP,/地图,游客需求,用户,,信息的过滤筛选,大地图进行信息的过滤筛选,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
4,渔乐生活APP,/地图,游客需求,用户,,定位到当前位置,定位到当前位置,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,删除定位功能（2021/6/16),4
5,渔乐生活APP,/地图,游客需求,用户,,大地图三级缩放,大地图三级缩放,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
6,渔乐生活APP,/地图,游客需求,用户,,当前天气,用户查看当前天气,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
7,渔乐生活APP,/地图,游客需求,用户,,天气预告,一段时间内的天气预告,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
8,渔乐生活APP,/地图,游客需求,用户,,钓点详情,用户查看地图上钓点详情,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
9,渔乐生活APP,/地图,游客需求,用户,,查找地图上钓点,用户查找地图上钓点,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
10,渔乐生活APP,/地图,游客需求,用户,,导航,用户导航至目标钓点,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
11,渔乐生活APP,/地图,游客需求,用户,,垂钓园详情,用户查看地图上垂钓园详情,2,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
12,渔乐生活APP,/地图,游客需求,用户,,查找地图上的垂钓园,用户查找地图上的垂钓园,2,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
13,渔乐生活APP,/地图,游客需求,用户,,渔具店详情,用户查看地图上渔具店详情,2,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
14,渔乐生活APP,/地图,游客需求,用户,,查找地图上的渔具店,用户查找地图上的渔具店,2,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
