编号,所属产品,所属模块,所属计划,需求来源,来源备注,需求名称,需求描述,优先级,当前状态,所处阶段,由谁创建,创建日期,由谁评审,评审时间,最后修改,最后修改日期,需求变更记录,受影响的需求id
1,渔乐生活APP,/地图,用户需求,客户,,大地图,作为一位用户代表，我希望在首页可以查看大地图,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
2,渔乐生活APP,/地图,用户需求,客户,,大地图上相关图标的显示,在大地图上有相关的图标区分,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,删除湖泊的图标显示（2021/5/27）,2
3,渔乐生活APP,/地图,用户需求,客户,,大地图进行信息的过滤筛选,望大地图上可以进行信息的过滤筛选,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,删除湖泊的筛选选项（2021/5/27）,3
4,渔乐生活APP,/地图,用户需求,客户,,定位到当前位置,在大地图上可以定位到当前位置,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/6/16,删除定位功能（2021/6/16),4
5,渔乐生活APP,/地图,用户需求,客户,,大地图三级缩放,在地图上可以进行缩放,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
6,渔乐生活APP,/地图,用户需求,客户,,查看当前天气,在地图上可以查看当前天气,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
7,渔乐生活APP,/地图,用户需求,客户,,一段时间内的天气预告,可以查看一段时间内的天气情况,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
8,渔乐生活APP,/地图,用户需求,客户,,收藏地点天气查看,在首页可以查看收藏地点的天气,2,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
9,渔乐生活APP,/地图,用户需求,客户,,查看地图上钓点详情,用户可以对钓点进行详情查看,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
10,渔乐生活APP,/地图,用户需求,客户,,查找地图上钓点,用户可以查找地图上可用的钓点,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
11,渔乐生活APP,/地图,用户需求,客户,,关注地图钓点,用户可以对地图上的钓点进行关注,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
12,渔乐生活APP,/地图,用户需求,客户,,导航至目标钓点,可以选择钓点进行导航,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
13,渔乐生活APP,/地图,用户需求,客户,,钓点添加,可以自行添加钓点,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
14,渔乐生活APP,/地图,用户需求,客户,,设置钓点权限,对添加的钓点设置查看权限,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
15,渔乐生活APP,/地图,用户需求,客户,,查看垂钓园详情,查看垂钓园的详情,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
16,渔乐生活APP,/地图,用户需求,客户,,关注垂钓园,关注地图上的垂钓园,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
17,渔乐生活APP,/地图,用户需求,客户,,查找垂钓园,对地图上的垂钓园进行查找,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
18,渔乐生活APP,/地图,用户需求,客户,,查看渔具店详情,查看渔具店的详情,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
19,渔乐生活APP,/地图,用户需求,客户,,关注渔具店,关注地图上的渔具店,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
20,渔乐生活APP,/地图,用户需求,客户,,查找渔具店,对地图上的渔具店进行查找,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
21,渔乐生活APP,/地图,用户需求,客户,,钓友详情,查看地图上的钓友详情,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
22,渔乐生活APP,/地图,用户需求,客户,,关注钓友,对地图上的钓友进行关注,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
23,渔乐生活APP,/地图,用户需求,客户,,查找钓友,查找钓友,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
24,渔乐生活APP,/地图,用户需求,客户,,发起约钓,用户可以发起约钓,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
25,渔乐生活APP,/地图,用户需求,客户,,发起约钓时间编辑,用户在发起约钓时可以对具体时间进行任意调整,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
26,渔乐生活APP,/地图,用户需求,客户,,发起约钓地点编辑,用户在发起约钓时可以对具体地点进行调整,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
27,渔乐生活APP,/地图,用户需求,客户,,邀请钓友,用户在发起约钓时在界面可以邀请钓友,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
28,渔乐生活APP,/地图,用户需求,客户,,创建群聊,发起约钓时创建一个群聊，发起者为群主，有最高权限，其他人可以任意进出,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
29,渔乐生活APP,/地图,用户需求,客户,,分享约钓,用户可以将约钓信息进行分享,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
30,渔乐生活APP,/地图,用户需求,客户,,约钓状态,约钓的状态需要及时变化（未开始，已开始，已结束）,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
31,渔乐生活APP,/地图,用户需求,客户,,结束约钓,在约钓结束后发起者可以对约钓信息进行修改，并选择分享,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
32,渔乐生活APP,/动态,用户需求,客户,,查看动态地理信息,查看动态能够显示发布者地理位置,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
33,渔乐生活APP,/动态,用户需求,客户,,动态详情,查看动态详情,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
